chromosome	measurement_unit	variant_type	qual_threshold	maf_threshold	n_hrdp_panel_variants	n_study_background_variants	coverage_percent
chr13	allele	SNP	40	0.2	236367	235605	99.67761997233116
chr13	allele	INDEL	30	0	279380	131999	47.247118619800986
chr13	allele	INDEL	30	0.1	117772	105175	89.30390924837822
chr13	allele	INDEL	30	0.2	75019	72710	96.92211306469028
chr13	allele	INDEL	40	0	220875	108033	48.91137521222411
chr13	allele	INDEL	40	0.1	99326	89957	90.56742444073052
chr13	allele	INDEL	40	0.2	66313	64715	97.59021609639136
chr13	allele	OTHER	30	0	9816	4849	49.398940505297475
chr13	allele	OTHER	30	0.1	5069	4331	85.44091536792267
chr13	allele	OTHER	30	0.2	3553	3330	93.72361384745285
chr13	allele	OTHER	40	0	6890	3453	50.11611030478955
chr13	allele	OTHER	40	0.1	3619	3157	87.23404255319149
chr13	allele	OTHER	40	0.2	2593	2460	94.87080601619745
chr14	site	SNP	30	0	471581	307594	65.22612234165499
chr14	site	SNP	30	0.1	332660	304778	91.61846930800216
chr14	site	SNP	30	0.2	224093	213286	95.17744864855216
chr14	site	SNP	40	0	440870	289713	65.71392927620387
chr14	site	SNP	40	0.1	313756	288151	91.8391998878109
chr14	site	SNP	40	0.2	211010	201020	95.2656272214587
chr14	site	INDEL	30	0	116761	80720	69.13267272462552
chr14	site	INDEL	30	0.1	83364	76219	91.42915407130177
chr14	site	INDEL	30	0.2	60665	57737	95.17349377730157
chr14	site	INDEL	40	0	97496	69280	71.05932551079019
chr14	site	INDEL	40	0.1	72428	66775	92.19500745568013
chr14	site	INDEL	40	0.2	53663	51240	95.48478467472933
chr14	site	OTHER	30	0	6240	3540	56.73076923076923
chr14	site	OTHER	30	0.1	3865	3236	83.72574385510997
chr14	site	OTHER	30	0.2	2798	2545	90.9578270192995
chr14	site	OTHER	40	0	4476	2568	57.37265415549598
chr14	site	OTHER	40	0.1	2807	2382	84.85928037050232
chr14	site	OTHER	40	0.2	2041	1880	92.11170994610485
chr14	allele	SNP	30	0	473955	308630	65.11799643426063
chr14	allele	SNP	30	0.1	333814	305711	91.58123985213322
chr14	allele	SNP	30	0.2	224816	213925	95.1555939079069
chr14	allele	SNP	40	0	442727	290480	65.61153939109202
chr14	allele	SNP	40	0.1	314639	288851	91.80394038882656
chr14	allele	SNP	40	0.2	211549	201493	95.24649135661241
chr14	allele	INDEL	30	0	248814	127732	51.336339595038865
chr14	allele	INDEL	30	0.1	117564	102829	87.46640127930318
chr14	allele	INDEL	30	0.2	75389	71015	94.19809255992253
chr14	allele	INDEL	40	0	197694	104676	52.94849616073326
chr14	allele	INDEL	40	0.1	99239	87715	88.3876298632594
chr14	allele	INDEL	40	0.2	65841	62267	94.57177138864841
chr14	allele	OTHER	30	0	8489	4614	54.35269171869478
chr14	allele	OTHER	30	0.1	5016	4163	82.99441786283892
chr14	allele	OTHER	30	0.2	3577	3239	90.55074084428291
chr14	allele	OTHER	40	0	5893	3279	55.64228745969795
chr14	allele	OTHER	40	0.1	3569	3012	84.39338750350238
chr14	allele	OTHER	40	0.2	2563	2353	91.80647678501755
chr15	site	SNP	30	0	421655	230858	54.75044764084382
chr15	site	SNP	30	0.1	274882	227132	82.62890985950335
chr15	site	SNP	30	0.2	199830	164004	82.07176099684732
chr15	site	SNP	40	0	385728	212404	55.06574581051933
chr15	site	SNP	40	0.1	254248	210739	82.88718102010635
chr15	site	SNP	40	0.2	186677	153066	81.99510384246587
chr15	site	INDEL	30	0	103467	61809	59.73788744237293
chr15	site	INDEL	30	0.1	68303	55902	81.84413568950119
chr15	site	INDEL	30	0.2	48838	40212	82.33752405913428
chr15	site	INDEL	40	0	84680	51717	61.07345299952763
chr15	site	INDEL	40	0.1	58548	48187	82.30340916854547
chr15	site	INDEL	40	0.2	43333	35625	82.21217086285279
chr15	site	OTHER	30	0	5246	2430	46.32100648112848
chr15	site	OTHER	30	0.1	2863	2122	74.11805798113866
chr15	site	OTHER	30	0.2	1929	1552	80.45619491964749
chr15	site	OTHER	40	0	3735	1759	47.095046854083
chr15	site	OTHER	40	0.1	2065	1571	76.0774818401937
chr15	site	OTHER	40	0.2	1400	1141	81.5
chr15	allele	SNP	30	0	424110	231739	54.641248732640115
chr15	allele	SNP	30	0.1	275906	227865	82.58791037527274
chr15	allele	SNP	30	0.2	200434	164490	82.06691479489508
chr15	allele	SNP	40	0	387513	213055	54.9800909904958
chr15	allele	SNP	40	0.1	255008	211297	82.85896913038022
chr15	allele	SNP	40	0.2	187129	153435	81.99423926809848
chr15	allele	INDEL	30	0	222869	98574	44.22956983698944
chr15	allele	INDEL	30	0.1	97462	76014	77.99347437975827
chr15	allele	INDEL	30	0.2	59970	48936	81.6008004002001
chr15	allele	INDEL	40	0	172610	78143	45.2714211227623
chr15	allele	INDEL	40	0.1	80559	63270	78.53871075857447
chr15	allele	INDEL	40	0.2	52296	42572	81.40584365917087
chr15	allele	OTHER	30	0	7415	3305	44.571813890761966
chr15	allele	OTHER	30	0.1	3913	2854	72.93636595962177
chr15	allele	OTHER	30	0.2	2618	2079	79.41176470588235
chr15	allele	OTHER	40	0	5067	2311	45.608841523583976
chr15	allele	OTHER	40	0.1	2753	2059	74.79113694151835
chr15	allele	OTHER	40	0.2	1854	1488	80.2588996763754
chr16	site	SNP	30	0	395656	218014	55.10190670683624
chr16	site	SNP	30	0.1	234064	216089	92.32047645088522
chr16	site	SNP	30	0.2	206722	195168	94.41085128820347
chr16	site	SNP	40	0	369568	204916	55.447441336912284
chr16	site	SNP	40	0.1	220152	203958	92.6441731167557
chr16	site	SNP	40	0.2	196734	185811	94.4478331147641
chr16	site	INDEL	30	0	96087	58781	61.17476869919968
chr16	site	INDEL	30	0.1	60817	54637	89.8383675617015
chr16	site	INDEL	30	0.2	49723	46583	93.68501498300586
chr16	site	INDEL	40	0	80111	50205	62.66929635131255
chr16	site	INDEL	40	0.1	52708	47807	90.70160127494877
chr16	site	INDEL	40	0.2	44777	42073	93.96118543001988
chr16	site	OTHER	30	0	5142	2508	48.77479579929988
chr16	site	OTHER	30	0.1	2757	2269	82.29960101559666
chr16	site	OTHER	30	0.2	2062	1878	91.07662463627545
chr16	site	OTHER	40	0	3757	1842	49.02848017034868
chr16	site	OTHER	40	0.1	2005	1682	83.89027431421447
chr16	site	OTHER	40	0.2	1549	1421	91.73660426081342
chr16	allele	SNP	30	0	397565	218728	55.016915472941534
chr16	allele	SNP	30	0.1	234811	216735	92.30189386357539
chr16	allele	SNP	30	0.2	207273	195684	94.40882314628533
chr16	allele	SNP	40	0	371036	205450	55.371985467717415
chr16	allele	SNP	40	0.1	220712	204456	92.63474573199464
chr16	allele	SNP	40	0.2	197161	186213	94.44717768727081
chr16	allele	INDEL	30	0	209555	95527	45.58564577318604
chr16	allele	INDEL	30	0.1	87079	75632	86.85446548536386
chr16	allele	INDEL	30	0.2	61187	57105	93.32864824227369
chr16	allele	INDEL	40	0	165849	77351	46.63941295998167
chr16	allele	INDEL	40	0.1	72679	63933	87.96626260680527
chr16	allele	INDEL	40	0.2	54262	50844	93.70093251262394
chr16	allele	OTHER	30	0	7250	3466	47.80689655172414
chr16	allele	OTHER	30	0.1	3743	3090	82.55410098851189
chr16	allele	OTHER	30	0.2	2789	2553	91.5381857296522
chr16	allele	OTHER	40	0	5061	2450	48.40940525587828
chr16	allele	OTHER	40	0.1	2625	2210	84.19047619047619
chr16	allele	OTHER	40	0.2	2023	1865	92.18981710331191
chr17	site	SNP	30	0	358890	232921	64.90038730530246
chr17	site	SNP	30	0.1	262098	224463	85.64086715655976
chr17	site	SNP	30	0.2	208419	183023	87.81493050057816
chr17	site	SNP	40	0	333908	217902	65.2580950441439
chr17	site	SNP	40	0.1	246143	211125	85.77331063649991
chr17	site	SNP	40	0.2	196833	172692	87.73528829007331
chr17	site	INDEL	30	0	96510	66635	69.04465858460263
chr17	site	INDEL	30	0.1	71118	60750	85.42141230068337
chr17	site	INDEL	30	0.2	55780	48846	87.56902115453568
chr17	site	INDEL	40	0	79095	56303	71.1840192173968
chr17	site	INDEL	40	0.1	61080	52706	86.29011132940406
chr17	site	INDEL	40	0.2	49437	43471	87.93211562190262
chr17	site	OTHER	30	0	5634	3009	53.40788072417465
chr17	site	OTHER	30	0.1	3523	2714	77.03661652001135
chr17	site	OTHER	30	0.2	2518	2110	83.79666401906275
chr17	site	OTHER	40	0	3990	2145	53.7593984962406
chr17	site	OTHER	40	0.1	2487	1949	78.367511057499
chr17	site	OTHER	40	0.2	1832	1547	84.44323144104804
chr17	allele	SNP	30	0	360670	233704	64.79718302048964
chr17	allele	SNP	30	0.1	263004	225134	85.60097945278399
chr17	allele	SNP	30	0.2	208996	183491	87.79641715630922
chr17	allele	SNP	40	0	335238	218484	65.17280260590984
chr17	allele	SNP	40	0.1	246822	211630	85.74195168988177
chr17	allele	SNP	40	0.2	197274	173048	87.71961839877531
chr17	allele	INDEL	30	0	219512	108485	49.42098837421189
chr17	allele	INDEL	30	0.1	103577	82795	79.93570001062012
chr17	allele	INDEL	30	0.2	69108	59178	85.63118596978642
chr17	allele	INDEL	40	0	171372	87612	51.123870877389535
chr17	allele	INDEL	40	0.1	86641	70018	80.81393335718656
chr17	allele	INDEL	40	0.2	60518	51989	85.90667239498993
chr17	allele	OTHER	30	0	7664	3921	51.16127348643006
chr17	allele	OTHER	30	0.1	4579	3489	76.19567591177113
chr17	allele	OTHER	30	0.2	3237	2696	83.28699413036763
chr17	allele	OTHER	40	0	5247	2741	52.23937488088431
chr17	allele	OTHER	40	0.1	3159	2470	78.18930041152264
chr17	allele	OTHER	40	0.2	2306	1951	84.60537727666956
chr18	site	SNP	30	0	366171	217470	59.39028486690645
chr18	site	SNP	30	0.1	246617	215743	87.48099279449511
chr18	site	SNP	30	0.2	193057	178167	92.28725195149619
chr18	site	SNP	40	0	344118	206150	59.90677616399026
chr18	site	SNP	40	0.1	233943	205257	87.73803875302958
chr18	site	SNP	40	0.2	184513	170524	92.41842038230368
chr18	site	INDEL	30	0	94533	61347	64.89479864174416
chr18	site	INDEL	30	0.1	65877	57291	86.96661960927183
chr18	site	INDEL	30	0.2	50362	46131	91.59882451054366
chr18	site	INDEL	40	0	78921	52593	66.64005777929829
chr18	site	INDEL	40	0.1	57439	50295	87.56245756367625
chr18	site	INDEL	40	0.2	45453	41777	91.91252502585088
chr18	site	OTHER	30	0	5333	2716	50.928183011438215
chr18	site	OTHER	30	0.1	3105	2461	79.25925925925925
chr18	site	OTHER	30	0.2	2249	1958	87.06091596265007
chr18	site	OTHER	40	0	3903	2034	52.113758647194466
chr18	site	OTHER	40	0.1	2323	1876	80.75764098148946
chr18	site	OTHER	40	0.2	1729	1525	88.20127241179873
chr18	allele	SNP	30	0	367994	218187	59.29091235183182
chr18	allele	SNP	30	0.1	247486	216405	87.44130981146408
chr18	allele	SNP	30	0.2	193661	178682	92.26535027703048
chr18	allele	SNP	40	0	345555	206704	59.817973983881004
chr18	allele	SNP	40	0.1	234622	205782	87.70788758087477
chr18	allele	SNP	40	0.2	184988	170929	92.40004757065323
chr18	allele	INDEL	30	0	213071	99750	46.81538078856344
chr18	allele	INDEL	30	0.1	95846	78655	82.06393589716838
chr18	allele	INDEL	30	0.2	63178	56673	89.70369432397354
chr18	allele	INDEL	40	0	168964	81472	48.218555431926326
chr18	allele	INDEL	40	0.1	81085	67125	82.78349879755812
chr18	allele	INDEL	40	0.2	56289	50680	90.0353532661799
chr18	allele	OTHER	30	0	7420	3640	49.056603773584904
chr18	allele	OTHER	30	0.1	4136	3238	78.28820116054159
chr18	allele	OTHER	30	0.2	2969	2566	86.42640619737286
chr18	allele	OTHER	40	0	5196	2623	50.48113933795227
chr18	allele	OTHER	40	0.1	2977	2385	80.11420893516963
chr18	allele	OTHER	40	0.2	2197	1929	87.80154756486118
chr19	site	SNP	30	0	216159	145643	67.37771732844804
chr19	site	SNP	30	0.1	152715	143503	93.9678486068821
chr19	site	SNP	30	0.2	110665	104762	94.6658835223422
chr19	site	SNP	40	0	202144	136717	67.63346921006807
chr19	site	SNP	40	0.1	143798	135467	94.20645627894686
chr19	site	SNP	40	0.2	104699	99211	94.75830714715518
chr19	site	INDEL	30	0	65177	46211	70.90077788176811
chr19	site	INDEL	30	0.1	46479	42483	91.40256890208481
chr19	site	INDEL	30	0.2	34196	31698	92.69505205287169
chr19	site	INDEL	40	0	52347	38293	73.1522341299406
chr19	site	INDEL	40	0.1	39157	36217	92.49176392471334
chr19	site	INDEL	40	0.2	29848	27833	93.24912891986062
chr19	site	OTHER	30	0	3658	2075	56.724986331328594
chr19	site	OTHER	30	0.1	2135	1835	85.94847775175644
chr19	site	OTHER	30	0.2	1510	1360	90.06622516556291
chr19	site	OTHER	40	0	2534	1452	57.30071033938437
chr19	site	OTHER	40	0.1	1498	1299	86.71562082777037
chr19	site	OTHER	40	0.2	1087	979	90.06439742410303
chr19	allele	SNP	30	0	217201	146153	67.28928504012413
chr19	allele	SNP	30	0.1	153232	143948	93.94121332358776
chr19	allele	SNP	30	0.2	110991	105062	94.65812543359371
chr19	allele	SNP	40	0	202903	137071	67.5549400452433
chr19	allele	SNP	40	0.1	144164	135782	94.18578840764685
chr19	allele	SNP	40	0.2	104929	99424	94.75359528824252
chr19	allele	INDEL	30	0	149106	76663	51.41510066663984
chr19	allele	INDEL	30	0.1	67707	59374	87.6925576380581
chr19	allele	INDEL	30	0.2	42455	39041	91.95854434106701
chr19	allele	INDEL	40	0	113315	60489	53.38128226624895
chr19	allele	INDEL	40	0.1	55125	49115	89.09750566893425
chr19	allele	INDEL	40	0.2	36499	33787	92.56965944272446
chr19	allele	OTHER	30	0	5079	2760	54.34140578854105
chr19	allele	OTHER	30	0.1	2862	2426	84.76589797344515
chr19	allele	OTHER	30	0.2	2022	1801	89.0702274975272
chr19	allele	OTHER	40	0	3382	1860	54.997043169722055
chr19	allele	OTHER	40	0.1	1942	1671	86.04531410916582
chr19	allele	OTHER	40	0.2	1403	1251	89.16607270135424
chr20	site	SNP	30	0	309287	175719	56.814221095616695
chr20	site	SNP	30	0.1	201605	173389	86.00431536916247
chr20	site	SNP	30	0.2	160960	138303	85.92383200795229
chr20	site	SNP	40	0	280871	159915	56.935390268130206
chr20	site	SNP	40	0.1	183612	158948	86.56732675424264
chr20	site	SNP	40	0.2	148188	127657	86.14530191378519
chr20	site	INDEL	30	0	77644	47609	61.317036731750036
chr20	site	INDEL	30	0.1	51079	43876	85.89831437577087
chr20	site	INDEL	30	0.2	38571	33191	86.05169687070597
chr20	site	INDEL	40	0	63562	40041	62.99518580283817
chr20	site	INDEL	40	0.1	43554	37892	87.00004592000735
chr20	site	INDEL	40	0.2	34022	29474	86.63217917817883
chr20	site	OTHER	30	0	4553	2231	49.00065890621568
chr20	site	OTHER	30	0.1	2562	2004	78.22014051522248
chr20	site	OTHER	30	0.2	1812	1490	82.22958057395144
chr20	site	OTHER	40	0	3390	1689	49.823008849557525
chr20	site	OTHER	40	0.1	1917	1532	79.91653625456442
chr20	site	OTHER	40	0.2	1381	1142	82.69370021723388
chr20	allele	SNP	30	0	311647	176554	56.65191707284203
chr20	allele	SNP	30	0.1	202622	174090	85.91860706142472
chr20	allele	SNP	30	0.2	161549	138738	85.87982593516519
chr20	allele	SNP	40	0	282524	160479	56.8019000155739
chr20	allele	SNP	40	0.1	184317	159443	86.50477167054585
chr20	allele	SNP	40	0.2	148618	127966	86.10397125516424
chr20	allele	INDEL	30	0	166194	75503	45.43064129872318
chr20	allele	INDEL	30	0.1	72562	59328	81.76180369890577
chr20	allele	INDEL	30	0.2	46820	39575	84.52584365655703
chr20	allele	INDEL	40	0	131165	61090	46.57492471314756
chr20	allele	INDEL	40	0.1	60363	50007	82.84379504000795
chr20	allele	INDEL	40	0.2	40812	34708	85.04361462315005
chr20	allele	OTHER	30	0	6214	2937	47.26424203411651
chr20	allele	OTHER	30	0.1	3331	2600	78.05463824677274
chr20	allele	OTHER	30	0.2	2349	1938	82.50319284802043
chr20	allele	OTHER	40	0	4431	2150	48.52177837959829
chr20	allele	OTHER	40	0.1	2415	1927	79.79296066252589
chr20	allele	OTHER	40	0.2	1733	1440	83.0929024812464
